,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2014,6,PR,Final,"145,354","518,448","1,327,995",28.04,"195,993","739,404","129,162",26.51,"48,918","201,419",660,24.29,0,0,0,0.00,.,.,.,.,"390,265","1,459,271","1,457,817",26.74
2014,7,PR,Final,"154,296","591,493","1,350,583",26.09,"201,696","758,204","134,206",26.60,"48,548","208,547",705,23.28,0,0,0,0.00,.,.,.,.,"404,540","1,558,243","1,485,494",25.96
2014,8,PR,Final,"157,075","574,784","1,327,829",27.33,"223,288","763,978","128,861",29.23,"46,491","198,951",652,23.37,0,0,0,0.00,.,.,.,.,"426,853","1,537,713","1,457,342",27.76
2014,9,PR,Final,"141,123","536,784","1,327,201",26.29,"209,293","759,089","130,788",27.57,"48,365","209,621",653,23.07,0,0,0,0.00,.,.,.,.,"398,782","1,505,494","1,458,642",26.49
2014,10,PR,Final,"149,793","560,251","1,329,991",26.74,"212,511","773,521","128,235",27.47,"48,163","203,258",660,23.70,0,0,0,0.00,.,.,.,.,"410,467","1,537,030","1,458,886",26.71
2014,11,PR,Final,"122,884","526,862","1,328,467",23.32,"178,818","753,098","128,057",23.74,"38,942","188,593",660,20.65,0,0,0,0.00,.,.,.,.,"340,644","1,468,553","1,457,184",23.20
2014,12,PR,Final,"111,411","484,718","1,328,483",22.98,"172,815","695,964","127,958",24.83,"40,218","198,649",660,20.25,0,0,0,0.00,.,.,.,.,"324,444","1,379,332","1,457,101",23.52
2015,1,PR,Preliminary,"104,532","484,082","1,328,896",21.59,"152,206","673,965","127,830",22.58,"30,585","161,469",658,18.94,0,0,0,0.00,.,.,.,.,"287,323","1,319,516","1,457,384",21.77
