,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,MONTH,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
1990,1,Final,"6,841,300","95,420,231",.,7.17,"4,332,195","62,498,967",.,6.93,"3,452,337","75,187,693",.,4.59,.,.,.,.,"465,357","7,767,762",.,5.99,"15,091,189","240,874,655",.,6.27
1990,2,Final,"5,571,807","74,498,370",.,7.48,"4,070,345","56,912,068",.,7.15,"3,421,356","74,606,540",.,4.59,.,.,.,.,"451,273","7,345,620",.,6.14,"13,514,792","213,362,594",.,6.33
1990,3,Final,"5,442,934","71,901,767",.,7.57,"4,191,027","57,979,978",.,7.23,"3,534,164","76,841,977",.,4.60,.,.,.,.,"458,404","7,343,455",.,6.24,"13,626,535","214,067,173",.,6.37
1990,4,Final,"5,015,134","65,190,618",.,7.69,"4,065,960","56,480,718",.,7.20,"3,473,270","76,238,153",.,4.56,.,.,.,.,"468,345","7,162,259",.,6.54,"13,022,717","205,071,739",.,6.35
1990,5,Final,"5,006,417","62,881,008",.,7.96,"4,310,961","58,940,835",.,7.31,"3,640,164","78,758,806",.,4.62,.,.,.,.,"482,726","7,571,005",.,6.38,"13,440,270","208,151,658",.,6.46
1990,6,Final,"5,986,006","73,899,811",.,8.10,"4,841,197","64,609,125",.,7.49,"3,888,140","80,676,340",.,4.82,.,.,.,.,"513,521","7,857,234",.,6.54,"15,228,862","227,042,513",.,6.71
1990,7,Final,"7,436,335","90,935,492",.,8.18,"5,334,102","70,948,145",.,7.52,"4,086,480","81,116,187",.,5.04,.,.,.,.,"556,503","8,590,035",.,6.48,"17,413,412","251,589,853",.,6.92
1990,8,Final,"7,296,962","88,563,829",.,8.24,"5,354,635","71,119,498",.,7.53,"4,189,525","84,045,130",.,4.98,.,.,.,.,"529,237","8,384,970",.,6.31,"17,370,359","252,113,432",.,6.89
1990,9,Final,"7,031,920","86,239,965",.,8.15,"5,194,144","69,295,956",.,7.50,"4,055,915","81,611,206",.,4.97,.,.,.,.,"521,691","8,034,308",.,6.49,"16,803,668","245,181,443",.,6.85
1990,10,Final,"5,596,588","69,595,203",.,8.04,"4,782,594","63,098,049",.,7.58,"3,952,109","81,959,284",.,4.82,.,.,.,.,"495,638","7,654,004",.,6.48,"14,826,928","222,306,541",.,6.67
1990,11,Final,"5,184,492","66,428,238",.,7.80,"4,302,006","58,650,288",.,7.34,"3,607,273","77,666,097",.,4.64,.,.,.,.,"466,780","7,147,561",.,6.53,"13,560,550","209,892,183",.,6.46
1990,12,Final,"5,968,524","78,464,162",.,7.61,"4,337,503","60,492,934",.,7.17,"3,556,079","76,814,288",.,4.63,.,.,.,.,"481,403","7,129,507",.,6.75,"14,343,509","222,900,878",.,6.43
